Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
ARUBA,571.7277778,568.8,566.2888889,564.4277778,563.4333333,563.0222222,562.3277778,560.1666667,555.7277778,548.5666667,538.9722222,527.75,516.0777778,504.7666667,494.4666667,484.8666667,474.7055556,462.1944444,446.2555556,426.1111111,402.7666667,379.0833333,359.0166667,345.2666667,339.0666667,339.3166667,343.5277778,348.0222222,350.1555556,349.0611111,345.5777778,340.8,336.4833333,333.8666667,333.2111111,333.9222222,335.3666667,336.6055556,336.9722222,336.25,334.6611111,332.4944444,330.2111111,328.1388889,326.2444444,324.3611111,322.4944444,320.6222222,318.6666667,316.8277778,314.9833333,312.3666667,307.9722222
AFGHANISTAN,46.79667004,45.68289679,44.58150293,43.49755231,42.44123855,41.40580982,40.35971418,39.25999755,38.07991759,36.78994271,35.40750237,34.00852556,32.69886653,31.54636522,30.6146356,29.86373189,29.13522961,28.20713017,26.93697424,25.25046411,23.24437858,21.1559538,19.31814325,17.96892596,17.17875655,16.86938241,16.94560396,17.25092516,17.65918727,18.15734614,18.75122997,19.35253194,19.85691879,20.18875563,20.30623411,20.21811261,19.96516864,19.61647214,19.2258524,18.79972582,18.32912416,17.83594798,17.34437092,16.87286861,16.43413749,16.03064976,15.65711179,15.30209386,14.95728793,14.62355023,14.30552798,14.00266979,13.71433998
ANGOLA,17.22276249,16.70050934,16.18712601,15.68069624,15.18139889,14.69033529,14.20776771,13.73418545,13.27053501,12.81520414,12.36951552,11.94078287,11.53868854,11.1694313,10.83710275,10.53785353,10.26019732,9.98792412,9.709594931,9.419613379,9.121806369,8.825505735,8.544739713,8.288958049,8.062190583,7.859192268,7.669063929,7.476279779,7.27010989,7.046404909,6.809869255,6.569417663,6.338228924,6.125885137,5.935031684,5.76276891,5.606441004,5.461404508,5.324158178,5.193978503,5.071835245,4.957778936,4.852180958,4.75502286,4.666145023,4.584400417,4.507614502,4.433025588,4.35857945,4.283222106,4.207118794,4.130966552,4.056058394
ALBANIA,105.7432847,105.8572628,106.0138686,106.314635,106.8437591,107.5662044,108.394781,109.2170438,109.9082847,110.4722263,110.9348905,111.3507299,111.685146,112.7382117,113.4590511,114.179927,114.9007664,115.6216423,116.3424818,117.0633577,117.7841971,118.505073,119.2259124,119.9467883,117.8081387,114.6837956,112.5403285,110.315146,108.2029927,106.0010584,103.7941606,101.6159854,99.49109489,97.51813869,95.54131387,93.65934307,91.73525547,89.72722628,87.76755474,85.77094891,83.82306569,81.86591241,79.84864964,77.93718978,75.97427007,73.80554745,71.73715328,69.87492701,68.05806569,66.20930657,64.32923358,62.45689781,60.57664234
ANDORRA,168.5489362,166.7234043,165.6702128,165.7595745,167.3595745,170.1468085,172.9617021,174.206383,172.8148936,168.212766,160.9425532,152.4234043,144.6808511,139.1468085,136.3489362,135.7425532,136.3617021,136.7531915,135.8595745,133.4191489,129.793617,125.3276596,120.5829787,115.9808511,111.593617,107.3,103.1021277,98.96808511,94.88723404,90.85957447,86.94042553,83.21702128,79.79148936,76.72978723,74.08297872,71.8,69.7212766,67.61914894,65.33191489,62.79574468,60.06595745,57.21702128,54.38297872,51.65744681,49.06595745,46.57021277,44.15957447,41.8,39.47021277,37.17021277,34.91489362,32.71489362,30.58723404
UNITED ARAB EMIRATES,111.7958014,110.1154426,106.7595215,100.975323,92.32438995,81.32338517,69.34625598,58.32104067,49.62778708,43.76385167,40.30208134,38.56422249,37.46535885,36.20038278,34.61301435,32.93657895,31.20805024,29.55514354,28.06584928,26.70046651,25.37252392,24.07867225,22.82299043,21.60882775,20.41967703,19.24844498,18.1195933,17.06836124,16.11504785,15.27870813,14.53803828,13.82494019,13.04617225,12.13905502,11.07789474,9.894629187,8.655705742,7.457535885,6.372511962,5.416842105,4.576543062,3.856925837,3.25611244,2.769485646,2.406184211,2.16222488,2.001913876,1.876674641,1.750490431,1.607787081,1.45423445,1.301124402,1.168983254
ARGENTINA,15.14466235,15.01336542,14.88248139,14.75294023,14.62483548,14.49783607,14.37187149,14.24674442,14.12211613,13.99821646,13.87457513,13.7492902,13.61986962,13.48456237,13.34259927,13.19453135,13.041586,12.8856648,12.72821109,12.5696893,12.40986264,12.24866645,12.08583873,11.92128959,11.75522511,11.58814005,11.42057522,11.25318578,11.08653848,10.92069763,10.75584155,10.59274854,10.43235551,10.27523578,10.12223233,9.973030559,9.825652156,9.677323701,9.526268229,9.371369428,9.213804998,9.056864314,8.905159152,8.76187365,8.628187701,8.502717516,8.382928647,8.265052673,8.146270495,8.0257362,7.90402055,7.781403813,7.658609854
ARMENIA,104.5509659,104.2880576,104.113804,104.0918862,104.255497,104.5833509,105.0186863,105.476326,105.898033,106.2750966,106.6396909,107.0250088,107.4801545,108.0469968,108.6694766,109.341693,110.2090622,111.4655778,113.212961,115.5582367,118.3587285,121.162522,123.3548296,124.5063224,124.4369512,123.303091,121.4279593,119.301405,117.2865121,115.4755181,113.776326,112.1488233,110.4982438,108.7565156,106.9393748,105.0914647,103.2027046,101.2585529,99.25008781,97.17228662,95.03280646,92.85086055,90.65310854,88.45830699,86.27924131,84.11081841,81.93270109,79.71461187,77.43765367,75.10126449,72.72311205,70.3256059,67.9395504
AMERICAN SAMOA,275.825,275.64,276.37,278.18,281.225,285.265,289.595,293.26,295.585,296.31,295.585,293.645,290.88,287.61,283.84,279.495,274.71,269.63,264.37,259.035,253.625,247.985,241.895,235.22,227.955,220.245,212.24,204.175,196.235,188.435,180.825,173.7,167.44,162.28,158.35,155.525,153.45,151.625,149.66,147.455,145.07,142.45,139.58,136.46,133.075,129.43,125.58,121.6,117.59,113.505,109.415,105.59,102.39
ANTIGUA AND BARBUDA,204.5113636,202.4295455,200.3454545,198.2568182,196.1363636,193.975,191.8113636,189.6977273,187.6477273,185.7227273,183.8727273,181.8863636,179.4818182,176.4727273,172.8204545,168.65,164.1636364,159.6477273,155.3386364,151.25,147.4272727,144.1681818,141.8454545,140.6954545,140.8340909,142.1318182,144.2818182,146.8295455,149.4181818,151.9613636,154.45,156.7045455,158.5227273,159.775,160.3477273,160.2454545,159.5977273,158.5954545,157.3931818,156.0340909,154.4818182,152.7386364,150.7681818,148.5659091,146.1522727,143.5818182,140.9136364,138.2227273,135.575,132.9545455,130.3818182,127.9795455,125.9159091
AUSTRALIA,3.010725954,2.958528045,2.907983286,2.867865092,2.823594496,2.765994559,2.711115161,2.694232196,2.654777866,2.619970582,2.589771292,2.558009971,2.526977598,2.493133567,2.463585124,2.435598714,2.41034586,2.383530974,2.352420499,2.32417375,2.299701912,2.277312784,2.249847051,2.22135298,2.188719524,2.151985733,2.117061297,2.085104721,2.051208622,2.023352381,2.000572745,1.975710399,1.943037892,1.912448095,1.889277951,1.868971532,1.84736342,1.826666493,1.808442784,1.786313995,1.741665907,1.715241529,1.684000885,1.628028065,1.596266743,1.563203728,1.535868164,1.516603101,1.482368561,1.453601135,1.425354386,1.398279161,1.364565299
