Variety,      Color,     Synonym,     Percentage Area, 	       Area hectares
Pinot noir, red, Blauburgunder,    29.7,	4402
Chasselas, white, Gutedel, 27.1 , 	4013
Gamay, red,, 10.2,  	1514
Merlot, red,, 6.9,	1028
Müller-Thurgau, white,, 3.3,	493
Gamaret, red,, 2.6, 	380
Chardonnay, white,, 2.2,	321
Sylvaner, white, Rhin, 1.6,	241
Pinot gris, white, Malvoisie, 1.5,	216
Garanoir, red,, 1.4, 	203
Syrah, red,, 1.2,	181
Petite Arvine, white,, 1.0,  154
Sauvignon blanc, white,, 0.9,  134
Humagne rouge, red,, 0.9,  128
Cornalin, red, Landroter,  0.8,  116
Diolinoir, red,, 0.8,  112
Pinot blanc, white,, 0.7, 105
Savagnin blanc, white, Heida, 0.6, 83
Cabernet Sauvignon, red,, 0.4, 63
Cabernet Franc, red,, 0.4, 54
