Country,Population,Chocolate consumption per capita (kg),Nobel laureates per 10 million capita
Australia,24450561,4.8,4.907862850263436
Austria,8735453,8.5,24.0399667882135
Brazil,209288278,1.4,0.04778098465696201
China,1409517397,0.2,0.06385164183965017
Denmark,5733551,7.5,15.697078477195024
Finland,5523231,7.3,9.05267224926859
France,64979548,7.0,9.541463723324144
Germany,82114224,9.48,13.030629139234147
Japan,127484450,2.0,2.0394644209548694
Norway,5305383,8.9,24.50341473933173
Sweden,9910701,6.3,30.270310848849135
Switzerland,8476005,11.0,30.674828530658015
Netherlands,17035938,5.0,11.739887759629084
UK,66181585,8.0,19.94512521874476
USA,324459463,5.5,11.341940734211226
